N,ExactMinus,ExactPlus,RecoveredMinus,RecoveredPlus,ExactDelta,RecoveredDelta,Bandwidth,NormalizedDelta,IsolationGap,NormalizedGap,SubspaceFidelity,NormalizedSplittingError,FirstSuccess,FirstStatus,FirstMessage,FirstIterations,FirstEvaluations,FirstFinalCost,SecondSuccess,SecondStatus,SecondMessage,SecondIterations,SecondEvaluations,SecondFinalCost
8,-0.04739379387153691,0.04739379387153722,-0.04739379387153711,0.047393793871537124,0.09478758774307414,0.09478758774307423,2.8268383953119534,0.033531307590936386,0.7527040529265269,0.2662706344214144,1.0,3.4365075419877655e-17,True,0,Optimization terminated successfully.,876,1463,0.0022461716975377363,True,0,Optimization terminated successfully.,587,924,0.00224617169753774
10,-0.023518348181792107,0.023518348181792152,-0.023518348181792194,0.02351834818179219,0.04703669636358426,0.04703669636358439,2.8852716787894277,0.01630234570607903,0.6850282085830809,0.23742242840386452,1.0,4.328884908430335e-17,True,0,Optimization terminated successfully.,1256,1897,0.0005531127011999997,True,0,Optimization terminated successfully.,743,1153,0.0005531127012000029
12,-0.011730942777578659,0.011730942777579127,-0.01173094277757889,0.011730942777578886,0.023461885555157786,0.023461885555157776,2.9184639432439647,0.008039121267703297,0.639135408703703,0.21899719206168566,1.0,3.5663763741044005e-18,True,0,Optimization terminated successfully.,2072,3032,0.00013761501845082456,True,0,Optimization terminated successfully.,2442,3448,0.00013761501845082675
14,-0.005861164570574993,0.005861164570574932,-0.005861164570574943,0.005861164570574952,0.011722329141149925,0.011722329141149894,2.9390992472305664,0.003988408745364947,0.6071470672800012,0.20657589833078943,0.9999999999999999,1.0624010943830842e-17,True,0,Optimization terminated successfully.,1355,2007,3.4353250123362826e-05,True,0,Optimization terminated successfully.,4648,6371,3.4353250123364343e-05
16,-0.002929944603795398,0.0029299446037964164,-0.002929944603908824,0.0029299446036415554,0.0058598892075918145,0.00585988920755038,2.9527931817865314,0.0019845240918791337,0.584281587942954,0.19787419977360066,0.9999999999839811,1.4032387314161545e-14,True,0,Optimization terminated successfully.,1411,2061,8.584575381355514e-06,True,0,Optimization terminated successfully.,3310,4640,8.584598806274127e-06
18,-0.0014648800739160061,0.0014648800739161649,-0.0014648800739169292,0.00146488007391606,0.002929760147832171,0.002929760147832989,2.962341304975186,0.000989001551884553,0.5675674795310076,0.19159422264334997,0.9999999999998497,2.761066449532276e-16,True,0,Optimization terminated successfully.,1544,2246,2.1458736309952416e-06,True,0,Optimization terminated successfully.,3420,4702,2.1458737703107247e-06
